chr1	17743	17914	2	2	1	0	1	53
chr1	188903	195262	2	2	1	0	4	67
chr1	1310689	1310908	1	1	1	1	0	27
chr1	1373903	1373999	2	2	1	1	0	66
chr1	1374446	1374704	2	2	1	17	0	67
chr1	1374791	1374996	2	2	1	2	0	69
chr1	1374791	1375074	2	2	1	4	0	48
chr1	1374791	1375153	2	2	1	6	0	37
chr1	1402257	1405808	2	2	1	9	0	71
chr1	1405887	1406908	2	2	1	11	0	68
chr1	1407020	1407130	2	2	1	6	0	69
chr1	1430663	1434177	2	2	1	1	0	22
chr1	1434585	1435481	2	4	0	1	0	48
chr1	1632375	1632782	1	1	1	1	0	36
chr1	1806539	1815755	2	2	1	1	0	65
chr1	2184699	2184921	1	1	1	1	0	3
chr1	2193911	2193997	2	2	1	1	0	54
chr1	2194134	2194687	2	2	1	2	0	61
chr1	2391959	2395783	1	1	1	20	0	69
chr1	2395872	2397115	1	1	1	15	0	71
chr1	2397221	2399414	1	1	1	10	0	75
chr1	2399515	2400856	1	1	1	2	0	41
chr1	2400936	2402206	1	1	1	1	0	42
chr1	3647561	3649930	2	2	1	2	0	73
chr1	3773182	3775298	1	1	1	2	0	74
chr1	6186817	6192929	2	2	1	0	4	73
chr1	6193055	6197651	2	2	1	1	0	24
chr1	6197757	6199561	2	2	1	1	0	21
chr1	6236337	6237244	1	1	0	7	0	49
chr1	6237346	6237469	1	1	1	2	0	27
chr1	6318579	6327298	2	2	1	1	0	3
chr1	6327414	6333476	2	2	1	3	0	60
chr1	6333569	6339432	2	2	1	5	0	65
chr1	6339590	6349748	2	2	1	9	0	58
chr1	6349867	6393256	2	2	1	8	0	61
chr1	6785576	6820180	1	1	1	35	0	70
chr1	6820251	6825091	1	1	1	17	0	70
chr1	6825211	6871756	1	1	1	9	0	73
chr1	7961736	7962762	1	1	1	17	0	66
chr1	7961794	7962762	1	1	1	19	0	75
chr1	7962876	7965323	1	1	1	36	0	73
chr1	7965426	7969344	1	1	1	16	0	60
chr1	7969405	7970893	1	1	1	14	0	60
chr1	7970964	7977651	1	1	1	12	0	53
chr1	7977739	7984893	1	1	1	4	0	23
chr1	8861430	8862886	2	2	1	4	0	59
chr1	8862946	8863234	2	2	1	3	0	33
chr1	8863344	8863890	2	2	1	6	0	56
chr1	8864093	8865284	2	2	1	2	0	72
chr1	8865483	8866278	2	2	1	2	0	64
chr1	8866502	8867116	2	2	1	1	0	65
chr1	8867251	8867987	2	2	1	6	0	70
chr1	8868058	8870451	2	2	1	7	0	59
chr1	8870511	8871890	2	2	1	12	0	59
chr1	8871987	8874823	2	2	1	29	0	73
chr1	8874918	8878579	2	2	1	26	0	75
chr1	9850777	9871186	2	2	1	1	0	11
chr1	9871278	9871968	2	2	1	2	0	71
chr1	9872089	9877904	2	2	1	2	0	62
chr1	9877990	9883704	2	2	1	4	0	34
chr1	9883739	9910094	2	2	1	6	0	34
chr1	10399126	10399628	1	1	1	3	0	54
chr1	10399705	10400392	1	1	1	8	0	72
chr1	10404280	10408070	1	1	1	1	0	30
chr1	10408141	10411417	1	3	1	2	0	50
chr1	10411553	10413061	1	1	1	1	0	33
chr1	10413252	10416986	1	1	1	1	0	8
chr1	10417118	10417375	1	1	1	1	0	11
chr1	10467333	10469176	2	2	1	1	0	35
chr1	10469339	10472322	2	2	1	4	0	55
chr1	10495322	10536212	1	1	1	1	0	48
chr1	10536298	10599237	1	1	1	1	0	66
chr1	10618418	10623018	1	1	1	2	0	71
chr1	11650075	11650465	2	2	1	1	0	41
chr1	11650835	11654318	2	2	1	1	0	21
chr1	11674817	11675081	2	2	1	1	0	38
chr1	11675732	11676045	2	2	1	2	0	68
chr1	11676141	11676847	2	2	1	3	0	63
chr1	11676949	11677542	2	2	1	9	0	67
chr1	11677615	11680352	2	2	1	29	0	72
chr1	11680472	11680561	2	2	1	32	0	52
chr1	11680614	11681038	2	2	1	20	0	52
chr1	11680614	11691412	2	2	1	6	0	52
chr1	11736236	11745802	1	1	1	4	0	35
chr1	11745838	11747439	1	1	1	5	0	35
